"MNET_SHORTNAME","NWSFIREZONE","ELEV_DEM","UNITS","TIMEZONE","SGID","SHORTNAME","ELEVATION","STID","WIMS_ID","GACC","MNET_LONGNAME","STATUS","PERIOD_OF_RECORD","LONGITUDE","COUNTY","STATE","CWA","NWSZONE","ID","MNET_ID","NAME","PROVIDERS","COUNTRY","SENSOR_VARIABLES","RESTRICTED","LATITUDE"
"PGE","HNX590","2326.1","[object Object]","America/Los_Angeles","SC04","PGE","2320","244PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-119.68358","Madera","CA","HNX","CA318","166188","229","Quartz Trail","[object Object]","US","[object Object]","false","37.17483"
"PGE","MTR505","246.1","[object Object]","America/Los_Angeles","NC02","PGE","254","264PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-123.00464","Sonoma","CA","MTR","CA505","166189","229","Osprey Drive","[object Object]","US","[object Object]","false","38.30175"
"PGE","MTR515","1453.4","[object Object]","America/Los_Angeles","NC03B","PGE","1464","339PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.74980","Alameda","CA","MTR","CA515","166190","229","Arroyo Hills","[object Object]","US","[object Object]","false","37.60138"
"PGE","HNX592","3930.4","[object Object]","America/Los_Angeles","SC04","PGE","3911","262PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-119.71952","Mariposa","CA","HNX","CA318","166193","229","Chowchila Mountain","[object Object]","US","[object Object]","false","37.48413"
"PGE","HNX580","403.5","[object Object]","America/Los_Angeles","SC05","PGE","396","337PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.12244","Fresno","CA","HNX","CA305","166194","229","Gates EMS","[object Object]","US","[object Object]","false","36.13799"
"PGE","MTR515","613.5","[object Object]","America/Los_Angeles","NC03A","PGE","621","334PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.10419","Contra Costa","CA","MTR","CA515","166202","229","Carr Ranch Road","[object Object]","US","[object Object]","false","37.81322"
"PGE","LOX341","541.3","[object Object]","America/Los_Angeles","SC07","PGE","535","333PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-120.44406","San Luis Obispo","CA","LOX","CA341","166210","229","Dana Foothill","[object Object]","US","[object Object]","false","35.04055"
"PGE","MTR512","1184.4","[object Object]","America/Los_Angeles","NC03A","PGE","1189","329PG","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-122.02234","Santa Cruz","CA","MTR","CA512","166211","229","Old Mount Road","[object Object]","US","[object Object]","false","37.13041"
"PGE","MTR518","839.9","[object Object]","America/Los_Angeles","SC06","PGE","839","316PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.24905","San Benito","CA","MTR","CA518","166246","229","Highway 25","[object Object]","US","[object Object]","false","36.66643"
"PGE","HNX590","3087.3","[object Object]","America/Los_Angeles","SC04","PGE","3044","331PG","null","SOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-119.73501","Mariposa","CA","HNX","CA318","166247","229","Harris Road - Mariposa","[object Object]","US","[object Object]","false","37.45430"
"PGE","STO268","6190.9","[object Object]","America/Los_Angeles","NC07","PGE","6340","PG746","null","NOCC","Pacific Gas and Electric","ACTIVE","[object Object]","-121.11797","Plumas","CA","STO","CA068","166248","229","Rush Creek Hill","[object Object]","US","[object Object]","false","40.06602"
