Station ID,Station Name,Latitude,Longitude,Elevation,County,Mesonet,First Data Date,Last Data Date,Status
0110P,Headwaters of Bean Creek,37.12705,-121.98452,1365,Santa Cruz,PURPLEAIR,2019-10-22,2020-03-21,INACTIVE
,,,,,,,,,
0111P,SCEM_07,34.08501,-118.0717,331,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0112P,SCEM_03,34.06491,-118.03349,279,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0113P,AQMD_NASA_26,34.16138,-118.06342,899,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0114P,Bear River Winery,39.023,-121.031,1699,Placer,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0115P,Berkeley Park and Coventry - Kensington - CA - USA,37.90074,-122.28613,177,Contra Costa,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0116P,Prairie Oaks,38.65339,-121.16166,292,Sacramento,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0117P,AHS,32.68293,-115.51641,-3,Imperial,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0118P,RIVR_Co-loc7,33.99952,-117.41595,820,Riverside,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
0119P,Porter Ranch,34.29478,-118.57907,1594,Los Angeles,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
011PG,Bloods Ridge,38.4864,-120.0526,8486,Alpine,PGE,2020-09-12,2021-01-11,ACTIVE
,,,,,,,,,
011SE,SCE Cabazon,33.90331,-116.78573,1673,Riverside,SC-EDISON,2020-09-16,2021-01-11,ACTIVE
,,,,,,,,,
0120P,SD Home,32.74658,-117.17123,259,San Diego,PURPLEAIR,2019-10-22,2021-01-11,ACTIVE
,,,,,,,,,
